_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,46,4406,69,3488,1.57,79.16
2,新疆,4,902,3,498,0.33,55.21
3,上海,5,825,7,745,0.85,90.30
4,辽宁,0,261,2,226,0.77,86.59
5,台湾,1,482,7,450,1.45,93.36
6,陕西,3,351,3,324,0.85,92.31
7,山东,0,821,7,790,0.85,96.22
8,广东,3,1712,8,1684,0.47,98.36
9,四川,1,624,3,606,0.48,97.12
10,浙江,0,1275,1,1268,0.08,99.45
11,江苏,0,661,0,655,0.00,99.09
12,福建,1,369,1,365,0.27,98.92
13,内蒙古,0,260,1,256,0.38,98.46
14,北京,0,935,9,923,0.96,98.72
15,河北,0,351,6,343,1.71,97.72
16,湖北,0,68139,4512,63625,6.62,93.38
17,天津,0,207,3,202,1.45,97.58
18,云南,0,191,2,188,1.05,98.43
19,黑龙江,0,948,13,934,1.37,98.52
20,青海,0,18,0,18,0.00,100.00
21,吉林,0,157,2,155,1.27,98.73
22,澳门,0,46,0,46,0.00,100.00
23,湖南,0,1019,4,1015,0.39,99.61
24,海南,0,171,6,165,3.51,96.49
25,宁夏,0,75,0,75,0.00,100.00
26,河南,0,1276,22,1254,1.72,98.28
27,贵州,0,147,2,145,1.36,98.64
28,广西,0,255,2,253,0.78,99.22
29,安徽,0,991,6,985,0.61,99.39
30,江西,0,932,1,931,0.11,99.89
31,重庆,0,583,6,577,1.03,98.97
32,甘肃,0,169,2,167,1.18,98.82
33,山西,0,201,0,201,0.00,100.00
34,西藏,0,1,0,1,0.00,100.00
