_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,台湾,0,440,6,361,1.36,82.05
2,香港,0,1044,4,967,0.38,92.62
3,黑龙江,1,945,13,891,1.38,94.29
4,上海,2,659,7,627,1.06,95.14
5,北京,0,593,9,565,1.52,95.28
6,吉林,11,124,1,105,0.81,84.68
7,内蒙古,0,201,1,184,0.50,91.54
8,陕西,0,308,3,293,0.97,95.13
9,山东,0,788,7,776,0.89,98.48
10,广东,0,1589,8,1576,0.50,99.18
11,澳门,0,45,0,40,0.00,88.89
12,天津,0,191,3,186,1.57,97.38
13,湖北,1,68129,4512,63616,6.62,93.38
14,河北,0,328,6,321,1.83,97.87
15,江苏,0,653,0,652,0.00,99.85
16,山西,0,198,0,197,0.00,99.49
17,福建,0,356,1,354,0.28,99.44
18,重庆,0,579,6,573,1.04,98.96
19,云南,0,185,2,183,1.08,98.92
20,宁夏,0,75,0,75,0.00,100.00
21,浙江,0,1268,1,1267,0.08,99.92
22,海南,0,168,6,162,3.57,96.43
23,辽宁,0,146,2,144,1.37,98.63
24,江西,0,937,1,936,0.11,99.89
25,河南,0,1276,22,1254,1.72,98.28
26,广西,0,254,2,252,0.79,99.21
27,甘肃,0,139,2,137,1.44,98.56
28,新疆,0,76,3,73,3.95,96.05
29,湖南,0,1019,4,1015,0.39,99.61
30,安徽,0,991,6,985,0.61,99.39
31,青海,0,18,0,18,0.00,100.00
32,西藏,0,1,0,1,0.00,100.00
33,四川,0,561,3,558,0.53,99.47
34,贵州,0,147,2,145,1.36,98.64
