_id,日期,累计确诊,疑似,死亡,治愈,现有确诊,现有重症,死亡率,治愈率
1,01.13.2020,41,0,1,0,0,0,2.4,0.0
2,01.14.2020,41,0,1,0,0,0,2.4,0.0
3,01.15.2020,41,0,2,5,0,0,4.9,12.2
4,01.16.2020,45,0,2,8,0,0,4.4,17.8
5,01.17.2020,62,0,2,12,0,0,3.2,19.4
6,01.18.2020,198,0,3,17,0,0,1.5,8.6
7,01.19.2020,275,0,4,18,0,0,1.5,6.5
8,01.20.2020,291,54,6,25,291,0,2.1,8.6
9,01.21.2020,440,37,9,25,431,0,2.0,5.7
10,01.22.2020,574,393,17,25,557,0,3.0,4.4
11,01.23.2020,835,1072,25,34,776,0,3.0,4.1
12,01.24.2020,1297,1965,41,38,1218,0,3.2,2.9
13,01.25.2020,1985,2684,56,49,1880,324,2.8,2.5
14,01.26.2020,2761,5794,80,51,2630,461,2.9,1.8
15,01.27.2020,4535,6973,106,60,4369,976,2.3,1.3
16,01.28.2020,5997,9239,132,103,5762,1239,2.2,1.7
17,01.29.2020,7736,12167,170,124,7442,1370,2.2,1.6
18,01.30.2020,9720,15238,213,171,9336,1527,2.2,1.8
19,01.31.2020,11821,17988,259,243,11319,1795,2.2,2.1
20,02.01.2020,14411,19544,304,328,13779,2110,2.1,2.3
21,02.02.2020,17238,21558,361,475,16402,2296,2.1,2.8
22,02.03.2020,20471,23214,425,632,19414,2788,2.1,3.1
23,02.04.2020,24363,23260,491,892,22980,3219,2.0,3.7
24,02.05.2020,28060,24702,564,1153,26343,3859,2.0,4.1
25,02.06.2020,31211,26359,637,1542,29032,4821,2.0,4.9
26,02.07.2020,34598,27657,723,2052,31823,6101,2.1,5.9
27,02.08.2020,37251,28942,812,2651,33788,6188,2.2,7.1
28,02.09.2020,40235,23589,909,3283,36043,6484,2.3,8.2
29,02.10.2020,42708,21675,1017,3998,37693,7333,2.4,9.4
30,02.11.2020,44730,16067,1114,4742,38874,8204,2.5,10.6
31,02.12.2020,59882,13435,1368,5915,52599,8030,2.3,9.9
