_id,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,地区待确认,118,2249,15,1379,0.67,61.32
2,新疆,乌鲁木齐,13,116,0,23,0.00,19.83
3,新疆,地区待确认,0,1,0,0,0.00,0.00
4,新疆,喀什,0,1,0,0,0.00,0.00
5,新疆,兵团第四师,0,10,1,9,10.00,90.00
6,新疆,吐鲁番,0,3,0,3,0.00,100.00
7,新疆,昌吉州,0,4,0,4,0.00,100.00
8,新疆,第八师石河子,0,4,1,3,25.00,75.00
9,新疆,兵团第九师,0,4,1,3,25.00,75.00
10,新疆,伊犁州,0,18,0,18,0.00,100.00
11,新疆,六师五家渠,0,2,0,2,0.00,100.00
12,新疆,兵团第十二师,0,3,0,3,0.00,100.00
13,新疆,巴州,0,3,0,3,0.00,100.00
14,新疆,第七师,0,1,0,1,0.00,100.00
15,新疆,阿克苏,0,1,0,1,0.00,100.00
16,北京,丰台,0,273,0,43,0.00,15.75
17,北京,大兴,0,104,0,39,0.00,37.50
18,北京,海淀,0,82,0,64,0.00,78.05
19,北京,西城,0,59,0,53,0.00,89.83
20,北京,东城,0,19,0,14,0.00,73.68
21,北京,房山,0,20,0,16,0.00,80.00
22,北京,门头沟,0,5,0,3,0.00,60.00
23,北京,朝阳,0,77,0,75,0.00,97.40
24,北京,通州,0,20,9,10,45.00,50.00
25,北京,石景山,0,15,0,14,0.00,93.33
26,北京,昌平,0,30,0,29,0.00,96.67
27,北京,延庆,0,1,0,1,0.00,100.00
28,北京,境外输入,0,174,0,174,0.00,100.00
29,北京,外地来京,0,25,0,25,0.00,100.00
30,北京,密云,0,7,0,7,0.00,100.00
31,北京,顺义,0,10,0,10,0.00,100.00
32,北京,怀柔,0,7,0,7,0.00,100.00
33,北京,地区待确认,0,1,0,271,0.00,27100.00
34,广东,境外输入,5,272,0,252,0.00,92.65
35,广东,佛山,0,89,0,89,0.00,100.00
36,广东,广州,0,377,1,376,0.27,99.73
37,广东,中山,0,67,0,67,0.00,100.00
38,广东,河源,0,5,0,5,0.00,100.00
39,广东,湛江,0,22,0,22,0.00,100.00
40,广东,珠海,0,98,1,97,1.02,98.98
41,广东,汕头,0,25,0,25,0.00,100.00
42,广东,揭阳,0,10,0,10,0.00,100.00
43,广东,江门,0,23,0,23,0.00,100.00
44,广东,梅州,0,16,0,16,0.00,100.00
45,广东,地区待确认,0,0,0,0,0.00,0.00
46,广东,深圳,0,423,3,420,0.71,99.29
47,广东,肇庆,0,19,1,18,5.26,94.74
48,广东,东莞,0,99,1,98,1.01,98.99
49,广东,阳江,0,14,0,14,0.00,100.00
50,广东,惠州,0,62,0,62,0.00,100.00
51,广东,茂名,0,14,0,14,0.00,100.00
52,广东,韶关,0,10,1,9,10.00,90.00
53,广东,清远,0,12,0,12,0.00,100.00
54,广东,汕尾,0,5,0,5,0.00,100.00
55,广东,潮州,0,5,0,5,0.00,100.00
56,上海,境外输入,1,397,0,377,0.00,94.96
57,上海,青浦,0,6,0,6,0.00,100.00
58,上海,外地来沪,0,113,1,112,0.88,99.12
59,上海,地区待确认,0,0,0,0,0.00,0.00
60,上海,宝山,0,22,1,21,4.55,95.45
61,上海,嘉定,0,9,2,7,22.22,77.78
62,上海,徐汇,0,18,1,17,5.56,94.44
63,上海,静安,0,16,1,15,6.25,93.75
64,上海,黄浦,0,6,1,5,16.67,83.33
65,上海,浦东,0,61,0,61,0.00,100.00
66,上海,境外来沪,0,1,0,1,0.00,100.00
67,上海,崇明,0,4,0,4,0.00,100.00
68,上海,金山,0,4,0,4,0.00,100.00
69,上海,虹口,0,7,0,7,0.00,100.00
70,上海,奉贤,0,9,0,9,0.00,100.00
71,上海,杨浦,0,9,0,9,0.00,100.00
72,上海,普陀,0,11,0,11,0.00,100.00
73,上海,长宁,0,13,0,13,0.00,100.00
