_id,省,市,确认,疑似,死亡,治愈
1,湖北,武汉,11618,0,478,476
2,湖北,孝感,2141,0,25,25
3,湖北,黄冈,1897,0,32,66
4,湖北,随州,915,0,9,9
5,湖北,荆州,885,0,10,22
6,湖北,襄阳,838,0,3,29
7,湖北,黄石,635,0,2,31
8,湖北,宜昌,610,0,7,11
9,湖北,荆门,553,0,17,24
10,湖北,鄂州,471,0,18,9
11,湖北,咸宁,443,0,1,6
12,湖北,十堰,395,0,0,24
13,湖北,仙桃,307,0,5,11
14,湖北,天门,163,0,10,1
15,湖北,恩施州,157,0,0,10
16,湖北,潜江,74,0,1,0
17,湖北,神农架,10,0,0,2
18,湖北,地区待确认,0,0,0,3
19,广东,深圳,339,0,0,31
20,广东,广州,285,0,0,21
21,广东,珠海,76,0,0,4
22,广东,佛山,59,0,0,4
23,广东,东莞,53,0,0,1
24,广东,中山,46,0,0,6
25,广东,惠州,39,0,0,1
26,广东,汕头,22,0,0,3
27,广东,湛江,20,0,0,4
28,广东,肇庆,14,0,1,1
29,广东,江门,14,0,0,1
30,广东,阳江,13,0,0,1
31,广东,梅州,12,0,0,4
32,广东,清远,10,0,0,3
33,广东,揭阳,7,0,0,0
34,广东,韶关,6,0,0,1
35,广东,茂名,6,0,0,1
36,广东,汕尾,5,0,0,1
37,广东,潮州,5,0,0,0
38,广东,河源,3,0,0,0
39,广东,地区待确认,0,0,0,0
40,浙江,温州,421,0,0,48
41,浙江,杭州,156,0,0,18
42,浙江,宁波,136,0,0,12
43,浙江,台州,129,0,0,17
44,浙江,金华,48,0,0,9
45,浙江,嘉兴,35,0,0,1
46,浙江,绍兴,34,0,0,5
47,浙江,丽水,16,0,0,3
48,浙江,衢州,15,0,0,3
49,浙江,湖州,9,0,0,1
50,浙江,舟山,7,0,0,5
51,河南,信阳,176,0,0,10
52,河南,南阳,118,0,2,2
53,河南,郑州,112,0,0,28
54,河南,驻马店,106,0,0,4
55,河南,商丘,72,0,0,5
56,河南,周口,60,0,0,10
57,河南,平顶山,46,0,1,1
58,河南,新乡,41,0,0,4
59,河南,安阳,40,0,0,2
60,河南,许昌,28,0,0,0
61,河南,漯河,26,0,0,4
62,河南,洛阳,24,0,0,2
63,河南,开封,20,0,0,0
64,河南,焦作,18,0,0,0
65,河南,鹤壁,11,0,0,0
66,河南,三门峡,7,0,0,2
67,河南,濮阳,5,0,0,0
68,河南,济源示范区,4,0,0,0
69,河南,地区待确认,0,0,0,10
70,湖南,长沙,190,0,0,18
71,湖南,岳阳,107,0,0,4
72,湖南,邵阳,83,0,0,12
73,湖南,常德,64,0,0,14
74,湖南,娄底,53,0,0,4
75,湖南,株洲,46,0,0,7
76,湖南,益阳,43,0,0,6
77,湖南,衡阳,43,0,0,11
78,湖南,永州,38,0,0,10
79,湖南,怀化,38,0,0,10
80,湖南,郴州,29,0,0,6
81,湖南,湘潭,25,0,0,7
82,湖南,湘西自治州,8,0,0,1
83,湖南,张家界,5,0,0,2
84,安徽,合肥,115,0,0,9
85,安徽,阜阳,105,0,0,9
86,安徽,蚌埠,88,0,0,1
87,安徽,亳州,72,0,0,5
88,安徽,安庆,66,0,0,6
89,安徽,六安,41,0,0,1
90,安徽,马鞍山,30,0,0,0
91,安徽,宿州,27,0,0,0
92,安徽,芜湖,27,0,0,3
93,安徽,淮北,22,0,0,0
94,安徽,铜陵,22,0,0,5
95,安徽,淮南,14,0,0,2
96,安徽,池州,11,0,0,1
97,安徽,滁州,11,0,0,2
98,安徽,黄山,9,0,0,1
99,安徽,宣城,5,0,0,2
100,江西,南昌,162,0,0,14
101,江西,九江,95,0,0,4
102,江西,新余,87,0,0,5
103,江西,上饶,86,0,0,5
