_id,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,地区待确认,0,1107,4,1050,0.36,94.85
2,四川,境外输入,0,42,0,21,0.00,50.00
3,四川,凉山,0,13,0,13,0.00,100.00
4,四川,内江,0,22,0,22,0.00,100.00
5,四川,乐山,0,3,0,3,0.00,100.00
6,四川,自贡,0,9,0,9,0.00,100.00
7,四川,攀枝花,0,16,0,16,0.00,100.00
8,四川,泸州,0,24,0,24,0.00,100.00
9,四川,德阳,0,18,0,18,0.00,100.00
10,四川,绵阳,0,22,0,22,0.00,100.00
11,四川,广元,0,6,0,6,0.00,100.00
12,四川,遂宁,0,17,0,17,0.00,100.00
13,四川,成都,0,145,3,142,2.07,97.93
14,四川,甘孜,0,78,0,78,0.00,100.00
15,四川,阿坝,0,1,0,1,0.00,100.00
16,四川,资阳,0,4,0,4,0.00,100.00
17,四川,眉山,0,8,0,8,0.00,100.00
18,四川,雅安,0,7,0,7,0.00,100.00
19,四川,巴中,0,24,0,24,0.00,100.00
20,四川,达州,0,42,0,42,0.00,100.00
21,四川,广安,0,30,0,30,0.00,100.00
22,四川,宜宾,0,12,0,12,0.00,100.00
23,四川,南充,0,39,0,39,0.00,100.00
24,广东,境外输入,0,209,0,200,0.00,95.69
25,广东,佛山,0,89,0,89,0.00,100.00
26,广东,地区待确认,0,0,0,0,0.00,0.00
27,广东,中山,0,67,0,67,0.00,100.00
28,广东,河源,0,5,0,5,0.00,100.00
29,广东,湛江,0,22,0,22,0.00,100.00
30,广东,珠海,0,98,1,97,1.02,98.98
31,广东,汕头,0,25,0,25,0.00,100.00
32,广东,揭阳,0,10,0,10,0.00,100.00
33,广东,江门,0,23,0,23,0.00,100.00
34,广东,梅州,0,16,0,16,0.00,100.00
35,广东,广州,0,377,1,376,0.27,99.73
36,广东,深圳,0,423,3,420,0.71,99.29
37,广东,肇庆,0,19,1,18,5.26,94.74
38,广东,东莞,0,99,1,98,1.01,98.99
39,广东,阳江,0,14,0,14,0.00,100.00
40,广东,惠州,0,62,0,62,0.00,100.00
41,广东,茂名,0,14,0,14,0.00,100.00
42,广东,韶关,0,10,1,9,10.00,90.00
43,广东,清远,0,12,0,12,0.00,100.00
44,广东,汕尾,0,5,0,5,0.00,100.00
45,广东,潮州,0,5,0,5,0.00,100.00
46,上海,境外输入,0,337,0,331,0.00,98.22
47,上海,青浦,0,6,0,6,0.00,100.00
48,上海,地区待确认,0,0,0,0,0.00,0.00
49,上海,宝山,0,22,1,21,4.55,95.45
50,上海,嘉定,0,9,2,7,22.22,77.78
51,上海,徐汇,0,18,1,17,5.56,94.44
52,上海,静安,0,16,1,15,6.25,93.75
53,上海,黄浦,0,6,1,5,16.67,83.33
54,上海,浦东,0,61,0,61,0.00,100.00
55,上海,外地来沪,0,113,1,112,0.88,99.12
56,上海,崇明,0,4,0,4,0.00,100.00
57,上海,金山,0,4,0,4,0.00,100.00
58,上海,虹口,0,7,0,7,0.00,100.00
59,上海,奉贤,0,9,0,9,0.00,100.00
60,上海,杨浦,0,9,0,9,0.00,100.00
61,上海,普陀,0,11,0,11,0.00,100.00
62,上海,长宁,0,13,0,13,0.00,100.00
63,上海,松江,0,14,0,14,0.00,100.00
64,上海,闵行,0,19,0,19,0.00,100.00
65,内蒙古,境外输入,2,160,0,154,0.00,96.25
66,内蒙古,呼伦贝尔,0,9,0,9,0.00,100.00
67,内蒙古,包头,0,11,0,11,0.00,100.00
68,内蒙古,呼和浩特,0,7,0,7,0.00,100.00
69,内蒙古,乌兰察布,0,3,0,3,0.00,100.00
70,内蒙古,赤峰,0,9,0,9,0.00,100.00
71,内蒙古,锡林郭勒,0,9,0,9,0.00,100.00
72,内蒙古,通辽,0,7,0,7,0.00,100.00
73,内蒙古,鄂尔多斯,0,11,0,11,0.00,100.00
74,内蒙古,巴彦淖尔,0,8,1,7,12.50,87.50
75,内蒙古,兴安盟,0,1,0,1,0.00,100.00
76,内蒙古,乌海,0,2,0,2,0.00,100.00
77,台湾,地区待确认,0,443,7,431,1.58,97.29
78,山东,境外输入,0,29,0,25,0.00,86.21
79,山东,泰安,0,35,2,33,5.71,94.29
80,山东,济宁,0,260,0,260,0.00,100.00
81,山东,济南,0,47,0,47,0.00,100.00
82,山东,枣庄,0,24,0,24,0.00,100.00
83,山东,淄博,0,30,1,29,3.33,96.67
84,山东,烟台,0,47,0,47,0.00,100.00
85,山东,潍坊,0,44,0,44,0.00,100.00
86,山东,青岛,0,65,1,64,1.54,98.46
87,山东,威海,0,38,1,37,2.63,97.37
88,山东,日照,0,16,0,16,0.00,100.00
89,山东,临沂,0,49,0,49,0.00,100.00
90,山东,德州,0,37,2,35,5.41,94.59
91,山东,聊城,0,38,0,38,0.00,100.00
92,山东,滨州,0,15,0,15,0.00,100.00
93,山东,菏泽,0,18,0,18,0.00,100.00
94,陕西,境外输入,0,66,0,63,0.00,95.45
95,陕西,韩城,0,1,0,1,0.00,100.00
96,陕西,渭南,0,15,0,15,0.00,100.00
97,陕西,咸阳,0,17,0,17,0.00,100.00
98,陕西,西安,0,120,3,117,2.50,97.50
99,陕西,汉中,0,26,0,26,0.00,100.00
100,陕西,杨凌,0,1,0,1,0.00,100.00
101,陕西,地区待确认,0,0,0,0,0.00,0.00
102,陕西,榆林,0,3,0,3,0.00,100.00
103,陕西,商洛,0,7,0,7,0.00,100.00
104,陕西,铜川,0,8,0,8,0.00,100.00
105,陕西,延安,0,8,0,8,0.00,100.00
106,陕西,宝鸡,0,13,0,13,0.00,100.00
107,陕西,安康,0,26,0,26,0.00,100.00
108,天津,境外输入,1,58,0,56,0.00,96.55
109,天津,和平区,0,6,0,6,0.00,100.00
110,天津,河北区,0,12,0,12,0.00,100.00
111,天津,津南区,0,2,0,2,0.00,100.00
112,天津,北辰区,0,6,0,6,0.00,100.00
113,天津,南开区,0,6,0,6,0.00,100.00
114,天津,河东区,0,15,1,14,6.67,93.33
115,天津,宁河区,0,4,0,4,0.00,100.00
116,天津,宝坻区,0,60,2,58,3.33,96.67
117,天津,外地来津,0,6,0,6,0.00,100.00
118,天津,滨海新区,0,3,0,3,0.00,100.00
119,天津,武清区,0,2,0,2,0.00,100.00
120,天津,东丽区,0,4,0,4,0.00,100.00
121,天津,河西区,0,4,0,4,0.00,100.00
122,天津,西青区,0,4,0,4,0.00,100.00
123,天津,红桥区,0,2,0,2,0.00,100.00
124,福建,境外输入,0,63,0,61,0.00,96.83
125,福建,莆田,0,56,0,56,0.00,100.00
126,福建,漳州,0,20,0,20,0.00,100.00
127,福建,地区待确认,0,0,0,0,0.00,0.00
128,福建,宁德,0,26,0,26,0.00,100.00
129,福建,龙岩,0,6,0,6,0.00,100.00
130,福建,南平,0,20,0,20,0.00,100.00
131,福建,三明,0,14,0,14,0.00,100.00
132,福建,泉州,0,47,0,47,0.00,100.00
133,福建,厦门,0,35,0,35,0.00,100.00
134,福建,福州,0,72,1,71,1.39,98.61
135,海南,境外输入,0,1,0,0,0.00,0.00
136,海南,三亚,0,54,1,53,1.85,98.15
137,海南,海口,0,39,0,39,0.00,100.00
138,海南,儋州,0,15,1,14,6.67,93.33
139,海南,东方,0,3,1,2,33.33,66.67
140,海南,万宁,0,13,0,13,0.00,100.00
141,海南,澄迈县,0,9,1,8,11.11,88.89
142,海南,昌江县,0,7,0,7,0.00,100.00
143,海南,保亭,0,3,0,3,0.00,100.00
144,海南,琼海,0,6,1,5,16.67,83.33
145,海南,临高县,0,6,0,6,0.00,100.00
146,海南,陵水县,0,4,0,4,0.00,100.00
147,海南,乐东,0,2,0,2,0.00,100.00
148,海南,文昌,0,3,0,3,0.00,100.00
149,海南,定安县,0,3,1,2,33.33,66.67
150,海南,琼中县,0,1,0,1,0.00,100.00
151,北京,朝阳,0,75,0,0,0.00,0.00
152,北京,海淀,0,64,0,0,0.00,0.00
153,北京,西城,0,53,0,0,0.00,0.00
154,北京,丰台,0,43,0,0,0.00,0.00
155,北京,大兴,0,39,0,0,0.00,0.00
156,北京,昌平,0,29,0,0,0.00,0.00
157,北京,外地来京,0,25,0,0,0.00,0.00
158,北京,通州,0,19,0,0,0.00,0.00
159,北京,房山,0,16,0,0,0.00,0.00
160,北京,石景山,0,14,0,0,0.00,0.00
161,北京,东城,0,14,0,0,0.00,0.00
162,北京,顺义,0,10,0,0,0.00,0.00
163,北京,怀柔,0,7,0,0,0.00,0.00
164,北京,密云,0,7,0,0,0.00,0.00
165,北京,门头沟,0,3,0,0,0.00,0.00
166,北京,境外输入,0,174,0,173,0.00,99.43
167,北京,延庆,0,1,0,0,0.00,0.00
168,北京,地区待确认,0,1,9,411,900.00,41100.00
169,河南,漯河,0,36,0,36,0.00,100.00
170,河南,境外输入,0,3,0,3,0.00,100.00
171,河南,地区待确认,0,0,0,0,0.00,0.00
172,河南,周口,0,76,1,75,1.32,98.68
173,河南,南阳,0,156,3,153,1.92,98.08
174,河南,信阳,0,274,2,272,0.73,99.27
175,河南,郑州,0,157,5,152,3.18,96.82
176,河南,济源示范区,0,5,0,5,0.00,100.00
177,河南,安阳,0,53,0,53,0.00,100.00
178,河南,新乡,0,57,3,54,5.26,94.74
179,河南,许昌,0,39,1,38,2.56,97.44
180,河南,商丘,0,91,3,88,3.30,96.70
181,河南,驻马店,0,139,0,139,0.00,100.00
182,河南,焦作,0,32,1,31,3.12,96.88
183,河南,开封,0,26,0,26,0.00,100.00
184,河南,平顶山,0,58,1,57,1.72,98.28
185,河南,洛阳,0,31,1,30,3.23,96.77
186,河南,濮阳,0,17,0,17,0.00,100.00
187,河南,鹤壁,0,19,0,19,0.00,100.00
188,河南,三门峡,0,7,1,6,14.29,85.71
189,浙江,境外输入,0,50,0,50,0.00,100.00
190,浙江,温州,0,504,1,503,0.20,99.80
191,浙江,省十里丰监狱,0,36,0,36,0.00,100.00
192,浙江,丽水,0,17,0,17,0.00,100.00
193,浙江,台州,0,146,0,146,0.00,100.00
194,浙江,舟山,0,10,0,10,0.00,100.00
195,浙江,衢州,0,14,0,14,0.00,100.00
196,浙江,金华,0,55,0,55,0.00,100.00
197,浙江,绍兴,0,42,0,42,0.00,100.00
198,浙江,嘉兴,0,46,0,46,0.00,100.00
199,浙江,湖州,0,10,0,10,0.00,100.00
200,浙江,宁波,0,157,0,157,0.00,100.00
201,浙江,杭州,0,181,0,181,0.00,100.00
202,贵州,境外输入,0,1,0,1,0.00,100.00
203,贵州,贵阳,0,36,1,35,2.78,97.22
204,贵州,遵义,0,32,0,32,0.00,100.00
205,贵州,六盘水,0,10,1,9,10.00,90.00
206,贵州,毕节,0,23,0,23,0.00,100.00
207,贵州,黔南州,0,17,0,17,0.00,100.00
208,贵州,安顺,0,4,0,4,0.00,100.00
209,贵州,黔东南州,0,10,0,10,0.00,100.00
210,贵州,铜仁,0,10,0,10,0.00,100.00
211,贵州,黔西南州,0,4,0,4,0.00,100.00
212,甘肃,境外输入,0,47,0,47,0.00,100.00
213,甘肃,兰州,0,37,2,35,5.41,94.59
214,甘肃,定西,0,9,0,9,0.00,100.00
215,甘肃,地区待确认,0,0,0,0,0.00,0.00
216,甘肃,平凉,0,9,0,9,0.00,100.00
217,甘肃,庆阳,0,3,0,3,0.00,100.00
218,甘肃,白银,0,4,0,4,0.00,100.00
219,甘肃,甘南州,0,8,0,8,0.00,100.00
220,甘肃,天水,0,12,0,12,0.00,100.00
221,甘肃,陇南,0,4,0,4,0.00,100.00
222,甘肃,临夏,0,3,0,3,0.00,100.00
223,甘肃,张掖,0,2,0,2,0.00,100.00
224,甘肃,金昌,0,1,0,1,0.00,100.00
225,青海,海北州,0,3,0,3,0.00,100.00
226,青海,西宁,0,15,0,15,0.00,100.00
227,新疆,兵团第九师,0,4,1,3,25.00,75.00
228,新疆,吐鲁番,0,3,0,3,0.00,100.00
229,新疆,乌鲁木齐,0,23,0,23,0.00,100.00
230,新疆,昌吉州,0,4,0,4,0.00,100.00
231,新疆,第八师石河子,0,4,1,3,25.00,75.00
232,新疆,兵团第四师,0,10,1,9,10.00,90.00
233,新疆,伊犁州,0,18,0,18,0.00,100.00
234,新疆,六师五家渠,0,2,0,2,0.00,100.00
235,新疆,兵团第十二师,0,3,0,3,0.00,100.00
236,新疆,巴州,0,3,0,3,0.00,100.00
237,新疆,第七师,0,1,0,1,0.00,100.00
238,新疆,阿克苏,0,1,0,1,0.00,100.00
239,江西,新余,0,129,0,129,0.00,100.00
240,江西,赣州,0,74,1,73,1.35,98.65
241,江西,九江,0,116,0,116,0.00,100.00
242,江西,境外输入,0,2,0,2,0.00,100.00
243,江西,南昌,0,230,0,230,0.00,100.00
244,江西,上饶,0,123,0,123,0.00,100.00
245,江西,抚州,0,72,0,72,0.00,100.00
246,江西,吉安,0,22,0,22,0.00,100.00
247,江西,萍乡,0,33,0,33,0.00,100.00
248,江西,宜春,0,106,0,106,0.00,100.00
249,江西,鹰潭,0,18,0,18,0.00,100.00
250,江西,景德镇,0,6,0,6,0.00,100.00
251,江西,赣江新区,0,1,0,1,0.00,100.00
252,黑龙江,地区待确认,0,2,0,2,0.00,100.00
253,黑龙江,哈尔滨,0,264,4,260,1.52,98.48
254,黑龙江,境外输入,0,386,0,386,0.00,100.00
255,黑龙江,牡丹江,0,25,0,25,0.00,100.00
256,黑龙江,大庆,0,27,1,26,3.70,96.30
257,黑龙江,齐齐哈尔,0,43,1,42,2.33,97.67
258,黑龙江,大兴安岭,0,3,0,3,0.00,100.00
259,黑龙江,黑河,0,14,0,14,0.00,100.00
260,黑龙江,双鸭山,0,52,3,49,5.77,94.23
