_id,省,市,确认,疑似,死亡,治愈
1,湖北,武汉,14982,0,608,877
2,湖北,孝感,2436,0,29,45
3,湖北,黄冈,2141,0,43,135
4,湖北,荆州,997,0,13,40
5,湖北,襄阳,988,0,7,40
6,湖北,随州,984,0,9,23
7,湖北,黄石,760,0,2,54
8,湖北,宜昌,711,0,8,36
9,湖北,荆门,663,0,19,48
10,湖北,鄂州,639,0,21,42
11,湖北,咸宁,493,0,4,23
12,湖北,十堰,467,0,0,40
13,湖北,仙桃,379,0,5,16
14,湖北,天门,197,0,10,1
15,湖北,恩施州,171,0,0,20
16,湖北,潜江,82,0,2,2
17,湖北,神农架,10,0,0,2
18,湖北,地区待确认,0,0,0,3
19,广东,深圳,364,0,0,39
20,广东,广州,304,0,0,36
21,广东,珠海,83,0,0,4
22,广东,佛山,65,0,0,4
23,广东,东莞,58,0,0,2
24,广东,中山,51,0,0,14
25,广东,惠州,47,0,0,1
26,广东,汕头,25,0,0,4
27,广东,湛江,21,0,0,6
28,广东,江门,17,0,0,1
29,广东,肇庆,14,0,1,3
30,广东,阳江,13,0,0,1
31,广东,梅州,13,0,0,4
32,广东,清远,10,0,0,3
33,广东,茂名,9,0,0,1
34,广东,揭阳,7,0,0,1
35,广东,韶关,6,0,0,2
36,广东,潮州,5,0,0,0
37,广东,汕尾,5,0,0,1
38,广东,河源,3,0,0,0
39,浙江,温州,448,0,0,70
40,浙江,杭州,165,0,0,41
41,浙江,宁波,146,0,0,13
42,浙江,台州,138,0,0,27
43,浙江,金华,53,0,0,13
44,浙江,嘉兴,38,0,0,3
45,浙江,绍兴,38,0,0,8
46,浙江,丽水,17,0,0,5
47,浙江,衢州,15,0,0,3
48,浙江,湖州,10,0,0,1
49,浙江,舟山,7,0,0,5
50,河南,信阳,205,0,0,24
51,河南,南阳,133,0,2,23
52,河南,郑州,126,0,0,29
53,河南,驻马店,116,0,0,14
54,河南,商丘,82,0,0,6
55,河南,周口,62,0,0,10
56,河南,平顶山,50,0,1,6
57,河南,新乡,44,0,1,6
58,河南,安阳,44,0,0,3
59,河南,许昌,31,0,0,2
60,河南,漯河,30,0,0,5
61,河南,洛阳,25,0,0,2
62,河南,焦作,24,0,1,1
63,河南,开封,24,0,0,1
64,河南,鹤壁,17,0,0,0
65,河南,濮阳,9,0,0,0
66,河南,三门峡,7,0,0,3
67,河南,济源示范区,4,0,0,0
68,河南,地区待确认,0,0,1,2
69,湖南,长沙,205,0,0,33
70,湖南,岳阳,115,0,1,10
71,湖南,邵阳,87,0,0,18
72,湖南,常德,66,0,0,15
73,湖南,娄底,64,0,0,8
74,湖南,株洲,58,0,0,9
75,湖南,益阳,46,0,0,15
76,湖南,衡阳,45,0,0,14
77,湖南,永州,40,0,0,10
78,湖南,怀化,39,0,0,15
79,湖南,郴州,32,0,0,8
80,湖南,湘潭,28,0,0,10
81,湖南,湘西自治州,8,0,0,3
82,湖南,张家界,5,0,0,2
83,安徽,合肥,136,0,0,11
84,安徽,阜阳,118,0,0,13
85,安徽,蚌埠,115,0,1,1
86,安徽,亳州,87,0,0,5
87,安徽,安庆,75,0,0,12
88,安徽,六安,54,0,0,2
89,安徽,马鞍山,31,0,0,2
90,安徽,芜湖,29,0,0,3
91,安徽,宿州,28,0,0,2
92,安徽,铜陵,24,0,0,7
93,安徽,淮北,23,0,0,4
94,安徽,淮南,22,0,0,4
95,安徽,池州,12,0,0,1
96,安徽,滁州,11,0,0,2
