_id,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,地区待确认,124,3396,31,1858,0.91,54.71
2,新疆,乌鲁木齐,29,611,0,46,0.00,7.53
3,新疆,喀什,1,2,0,0,0.00,0.00
4,新疆,昌吉州,0,5,0,4,0.00,80.00
5,新疆,地区待确认,0,1,0,0,0.00,0.00
6,新疆,兵团第四师,0,10,1,9,10.00,90.00
7,新疆,吐鲁番,0,3,0,3,0.00,100.00
8,新疆,第八师石河子,0,4,1,3,25.00,75.00
9,新疆,兵团第九师,0,4,1,3,25.00,75.00
10,新疆,伊犁州,0,18,0,18,0.00,100.00
11,新疆,六师五家渠,0,2,0,2,0.00,100.00
12,新疆,兵团第十二师,0,3,0,3,0.00,100.00
13,新疆,巴州,0,3,0,3,0.00,100.00
14,新疆,第七师,0,1,0,1,0.00,100.00
15,新疆,阿克苏,0,1,0,1,0.00,100.00
16,辽宁,大连,3,97,0,18,0.00,18.56
17,辽宁,境外输入,0,33,0,31,0.00,93.94
18,辽宁,铁岭,0,8,0,7,0.00,87.50
19,辽宁,葫芦岛,0,12,1,11,8.33,91.67
20,辽宁,抚顺,0,1,0,1,0.00,100.00
21,辽宁,朝阳市,0,6,1,5,16.67,83.33
22,辽宁,丹东,0,11,0,11,0.00,100.00
23,辽宁,沈阳,0,34,0,34,0.00,100.00
24,辽宁,鞍山,0,4,0,4,0.00,100.00
25,辽宁,锦州,0,12,0,12,0.00,100.00
26,辽宁,盘锦,0,11,0,11,0.00,100.00
27,辽宁,阜新,0,8,0,8,0.00,100.00
28,辽宁,本溪,0,3,0,3,0.00,100.00
29,辽宁,辽阳,0,3,0,3,0.00,100.00
30,辽宁,营口,0,1,0,1,0.00,100.00
31,台湾,地区待确认,7,474,7,441,1.48,93.04
32,广东,境外输入,2,287,0,267,0.00,93.03
33,广东,梅州,0,16,0,16,0.00,100.00
34,广东,广州,0,377,1,376,0.27,99.73
35,广东,肇庆,0,19,1,18,5.26,94.74
36,广东,中山,0,67,0,67,0.00,100.00
37,广东,河源,0,5,0,5,0.00,100.00
38,广东,湛江,0,22,0,22,0.00,100.00
39,广东,珠海,0,98,1,97,1.02,98.98
40,广东,汕头,0,25,0,25,0.00,100.00
41,广东,揭阳,0,10,0,10,0.00,100.00
42,广东,江门,0,23,0,23,0.00,100.00
43,广东,地区待确认,0,0,0,0,0.00,0.00
