_id,省,市,确认,疑似,死亡,治愈
1,湖北,武汉,19558,0,820,1377
2,湖北,孝感,2751,0,45,179
3,湖北,黄冈,2398,0,54,338
4,湖北,随州,1129,0,12,51
5,湖北,荆州,1110,0,21,80
6,湖北,襄阳,1088,0,12,60
7,湖北,黄石,874,0,6,96
8,湖北,鄂州,861,0,28,72
9,湖北,宜昌,784,0,8,62
10,湖北,荆门,696,0,24,81
11,湖北,十堰,536,0,1,70
12,湖北,咸宁,525,0,6,65
13,湖北,仙桃,460,0,13,43
14,湖北,天门,293,0,10,12
15,湖北,恩施州,203,0,3,38
16,湖北,潜江,90,0,5,8
17,湖北,神农架,10,0,0,7
18,湖北,地区待确认,0,0,0,0
19,广东,深圳,386,0,0,66
20,广东,广州,323,0,0,70
21,广东,珠海,87,0,0,17
22,广东,佛山,78,0,0,15
23,广东,东莞,67,0,0,7
24,广东,中山,62,0,0,16
25,广东,惠州,54,0,0,4
26,广东,汕头,25,0,0,6
27,广东,江门,21,0,0,2
28,广东,湛江,21,0,0,9
29,广东,肇庆,16,0,1,7
30,广东,梅州,13,0,0,4
31,广东,茂名,13,0,0,1
32,广东,阳江,13,0,0,1
33,广东,清远,12,0,0,5
34,广东,揭阳,8,0,0,3
35,广东,韶关,7,0,0,3
36,广东,潮州,5,0,0,0
37,广东,汕尾,5,0,0,1
38,广东,河源,3,0,0,1
39,广东,地区待确认,0,0,0,3
40,河南,信阳,231,0,0,28
41,河南,南阳,138,0,2,28
42,河南,郑州,137,0,0,36
43,河南,驻马店,128,0,0,25
44,河南,商丘,86,0,0,9
45,河南,周口,66,0,0,16
46,河南,平顶山,55,0,1,13
47,河南,新乡,53,0,1,6
48,河南,安阳,49,0,0,10
49,河南,许昌,34,0,0,2
50,河南,漯河,33,0,0,6
51,河南,洛阳,29,0,0,2
52,河南,焦作,28,0,1,1
53,河南,开封,25,0,0,1
54,河南,鹤壁,19,0,0,3
55,河南,濮阳,13,0,0,1
56,河南,三门峡,7,0,0,3
57,河南,济源示范区,4,0,0,0
58,河南,地区待确认,0,0,3,41
59,浙江,温州,481,0,0,107
60,浙江,杭州,159,0,0,51
61,浙江,宁波,153,0,0,24
62,浙江,台州,143,0,0,38
63,浙江,金华,54,0,0,19
64,浙江,嘉兴,42,0,0,6
65,浙江,绍兴,41,0,0,13
66,浙江,衢州,21,0,0,5
67,浙江,丽水,17,0,0,7
68,浙江,舟山,10,0,0,5
69,浙江,湖州,10,0,0,4
70,湖南,长沙,223,0,0,48
71,湖南,岳阳,146,0,1,24
72,湖南,邵阳,94,0,1,25
73,湖南,常德,75,0,0,18
74,湖南,株洲,71,0,0,12
75,湖南,娄底,69,0,0,18
76,湖南,益阳,58,0,0,22
77,湖南,衡阳,45,0,0,23
78,湖南,永州,43,0,0,18
79,湖南,怀化,39,0,0,21
80,湖南,郴州,38,0,0,14
81,湖南,湘潭,32,0,0,11
82,湖南,湘西自治州,8,0,0,6
83,湖南,张家界,5,0,0,3
84,安徽,合肥,157,0,1,28
85,安徽,蚌埠,141,0,3,2
86,安徽,阜阳,138,0,0,17
87,安徽,亳州,97,0,0,12
88,安徽,安庆,80,0,0,15
89,安徽,六安,59,0,0,3
90,安徽,宿州,36,0,0,8
91,安徽,马鞍山,32,0,0,6
92,安徽,芜湖,31,0,0,4
93,安徽,铜陵,27,0,0,9
94,安徽,淮北,24,0,0,6
95,安徽,淮南,24,0,0,6
96,安徽,池州,16,0,0,3
97,安徽,滁州,12,0,0,4
98,安徽,黄山,9,0,0,1
99,安徽,宣城,6,0,0,4
100,江西,南昌,204,0,0,53
101,江西,新余,117,0,0,26
102,江西,上饶,116,0,0,15
103,江西,九江,105,0,0,14
104,江西,宜春,88,0,0,16
105,江西,赣州,72,0,1,8
106,江西,抚州,68,0,0,11
107,江西,萍乡,29,0,0,2
108,江西,吉安,21,0,0,5
109,江西,鹰潭,18,0,0,1
110,江西,景德镇,5,0,0,1
111,江西,赣江新区,1,0,0,0
112,江苏,南京,87,0,0,22
113,江苏,苏州,84,0,0,13
114,江苏,徐州,66,0,0,10
115,江苏,无锡,48,0,0,4
116,江苏,淮安,47,0,0,6
117,江苏,连云港,39,0,0,5
118,江苏,南通,37,0,0,5
119,江苏,泰州,36,0,0,6
120,江苏,常州,36,0,0,6
121,江苏,盐城,21,0,0,3
122,江苏,扬州,18,0,0,6
123,江苏,镇江,12,0,0,2
124,江苏,宿迁,12,0,0,6
125,重庆,万州区,101,0,1,14
126,重庆,江北区,25,0,0,2
127,重庆,云阳县,21,0,0,10
128,重庆,开州区,20,0,1,10
129,重庆,九龙坡区,20,0,1,1
130,重庆,合川区,20,0,0,3
131,重庆,渝中区,20,0,0,1
132,重庆,垫江县,20,0,0,1
133,重庆,忠县,19,0,0,6
134,重庆,奉节县,17,0,0,2
135,重庆,綦江区,16,0,0,0
136,重庆,长寿区,16,0,0,3
137,重庆,两江新区,16,0,0,1
138,重庆,潼南区,15,0,0,0
139,重庆,渝北区,15,0,0,2
140,重庆,大足区,14,0,0,1
141,重庆,石柱县,14,0,0,3
142,重庆,巫溪县,13,0,0,4
143,重庆,丰都县,10,0,0,1
144,重庆,巫山县,10,0,0,4
145,重庆,南岸区,9,0,0,0
146,重庆,沙坪坝区,8,0,0,0
147,重庆,璧山区,8,0,0,1
148,重庆,铜梁区,8,0,0,0
149,重庆,荣昌区,8,0,0,0
150,重庆,大渡口区,7,0,0,1
151,重庆,巴南区,5,0,0,1
152,重庆,永川区,5,0,0,1
153,重庆,梁平区,4,0,0,1
154,重庆,高新区,4,0,0,0
155,重庆,江津区,4,0,0,1
156,重庆,涪陵区,3,0,0,0
157,重庆,黔江区,2,0,0,2
158,重庆,彭水县,2,0,0,0
159,重庆,城口县,2,0,0,1
160,重庆,酉阳县,1,0,0,0
161,重庆,万盛经开区,1,0,0,0
162,重庆,武隆区,1,0,0,0
163,重庆,秀山县,1,0,0,1
164,山东,青岛,53,0,1,12
165,山东,济南,47,0,0,7
166,山东,临沂,45,0,0,10
167,山东,烟台,43,0,0,3
168,山东,济宁,42,0,0,9
169,山东,潍坊,38,0,0,4
170,山东,威海,38,0,0,8
171,山东,聊城,38,0,0,2
172,山东,德州,33,0,0,6
173,山东,泰安,32,0,0,1
174,山东,枣庄,23,0,0,3
175,山东,淄博,20,0,0,1
176,山东,菏泽,18,0,0,6
177,山东,日照,15,0,0,2
178,山东,滨州,12,0,0,6
179,四川,成都,125,0,1,41
180,四川,甘孜,36,0,0,2
181,四川,南充,34,0,0,4
182,四川,达州,33,0,0,5
183,四川,广安,30,0,0,3
184,四川,绵阳,22,0,0,4
185,四川,巴中,22,0,0,1
