_id,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,武汉,0,45027,1585,5448,3.52,12.10
2,湖北,孝感,0,3329,89,673,2.67,20.22
3,湖北,黄冈,0,2839,87,1149,3.06,40.47
4,湖北,荆州,0,1510,40,451,2.65,29.87
5,湖北,鄂州,0,1338,38,350,2.84,26.16
6,湖北,随州,0,1283,27,308,2.10,24.01
7,湖北,襄阳,0,1167,23,294,1.97,25.19
8,湖北,黄石,0,967,26,299,2.69,30.92
9,湖北,宜昌,0,891,27,231,3.03,25.93
10,湖北,荆门,0,794,34,201,4.28,25.31
11,湖北,咸宁,0,766,10,268,1.31,34.99
12,湖北,十堰,0,641,2,187,0.31,29.17
13,湖北,仙桃,0,567,19,184,3.35,32.45
14,湖北,天门,0,473,12,133,2.54,28.12
15,湖北,恩施州,0,244,3,102,1.23,41.80
16,湖北,潜江,0,185,7,49,3.78,26.49
17,湖北,神农架,0,10,0,10,0.00,100.00
18,广东,深圳,0,416,2,199,0.48,47.84
19,广东,广州,0,339,0,158,0.00,46.61
20,广东,珠海,0,98,1,45,1.02,45.92
21,广东,东莞,0,92,1,26,1.09,28.26
22,广东,佛山,0,84,0,33,0.00,39.29
23,广东,中山,0,66,0,42,0.00,63.64
24,广东,惠州,0,62,0,38,0.00,61.29
25,广东,汕头,0,25,0,18,0.00,72.00
26,广东,江门,0,23,0,9,0.00,39.13
27,广东,湛江,0,22,0,11,0.00,50.00
28,广东,肇庆,0,18,1,8,5.56,44.44
29,广东,梅州,0,16,0,10,0.00,62.50
30,广东,茂名,0,14,0,6,0.00,42.86
31,广东,阳江,0,13,0,9,0.00,69.23
32,广东,清远,0,12,0,9,0.00,75.00
33,广东,韶关,0,10,0,5,0.00,50.00
34,广东,揭阳,0,8,0,4,0.00,50.00
35,广东,汕尾,0,5,0,2,0.00,40.00
36,广东,潮州,0,5,0,3,0.00,60.00
37,广东,河源,0,4,0,1,0.00,25.00
38,广东,地区待确认,0,0,0,0,0.00,0.00
39,河南,信阳,0,269,3,28,1.12,10.41
40,河南,郑州,0,156,1,36,0.64,23.08
41,河南,南阳,0,155,2,28,1.29,18.06
42,河南,驻马店,0,139,0,25,0.00,17.99
43,河南,商丘,0,91,1,9,1.10,9.89
44,河南,周口,0,76,0,16,0.00,21.05
45,河南,平顶山,0,58,1,13,1.72,22.41
46,河南,新乡,0,57,1,6,1.75,10.53
47,河南,安阳,0,53,0,10,0.00,18.87
48,河南,许昌,0,39,0,2,0.00,5.13
49,河南,漯河,0,35,0,6,0.00,17.14
50,河南,焦作,0,32,1,1,3.12,3.12
51,河南,洛阳,0,31,0,2,0.00,6.45
52,河南,开封,0,26,0,1,0.00,3.85
