_id,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,地区待确认,11,4889,98,4524,2.00,92.53
2,上海,境外输入,0,580,0,537,0.00,92.59
3,上海,青浦,0,6,0,6,0.00,100.00
4,上海,外地来沪,0,113,1,112,0.88,99.12
5,上海,地区待确认,0,0,0,0,0.00,0.00
6,上海,宝山,0,22,1,21,4.55,95.45
7,上海,嘉定,0,9,2,7,22.22,77.78
8,上海,徐汇,0,18,1,17,5.56,94.44
9,上海,静安,0,16,1,15,6.25,93.75
10,上海,黄浦,0,6,1,5,16.67,83.33
11,上海,浦东,0,61,0,61,0.00,100.00
12,上海,境外来沪,0,1,0,1,0.00,100.00
13,上海,崇明,0,4,0,4,0.00,100.00
14,上海,金山,0,4,0,4,0.00,100.00
15,上海,虹口,0,7,0,7,0.00,100.00
16,上海,奉贤,0,9,0,9,0.00,100.00
17,上海,杨浦,0,9,0,9,0.00,100.00
18,上海,普陀,0,11,0,11,0.00,100.00
19,上海,长宁,0,13,0,13,0.00,100.00
20,上海,松江,0,14,0,14,0.00,100.00
21,上海,闵行,0,19,0,19,0.00,100.00
22,广东,境外输入,2,373,0,347,0.00,93.03
23,广东,湛江,0,22,0,22,0.00,100.00
24,广东,汕尾,0,6,0,6,0.00,100.00
25,广东,广州,0,377,1,376,0.27,99.73
26,广东,韶关,0,10,1,9,10.00,90.00
27,广东,阳江,0,14,0,14,0.00,100.00
28,广东,清远,0,12,0,12,0.00,100.00
29,广东,潮州,0,5,0,5,0.00,100.00
30,广东,茂名,0,14,0,14,0.00,100.00
31,广东,东莞,0,99,1,98,1.01,98.99
32,广东,河源,0,5,0,5,0.00,100.00
33,广东,地区待确认,0,0,0,0,0.00,0.00
34,广东,珠海,0,98,1,97,1.02,98.98
35,广东,汕头,0,25,0,25,0.00,100.00
36,广东,揭阳,0,10,0,10,0.00,100.00
37,广东,惠州,0,62,0,62,0.00,100.00
38,广东,梅州,0,16,0,16,0.00,100.00
39,广东,佛山,0,89,0,89,0.00,100.00
40,广东,深圳,0,423,3,420,0.71,99.29
41,广东,肇庆,0,19,1,18,5.26,94.74
42,广东,中山,0,67,0,67,0.00,100.00
43,广东,江门,0,23,0,23,0.00,100.00
44,四川,境外输入,5,122,0,99,0.00,81.15
45,四川,遂宁,0,17,0,17,0.00,100.00
46,四川,成都,0,145,3,142,2.07,97.93
47,四川,阿坝,0,1,0,1,0.00,100.00
48,四川,资阳,0,4,0,4,0.00,100.00
49,四川,自贡,0,9,0,9,0.00,100.00
50,四川,攀枝花,0,16,0,16,0.00,100.00
51,四川,泸州,0,24,0,24,0.00,100.00
52,四川,德阳,0,18,0,18,0.00,100.00
