_id,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,武汉,370,47441,2085,11793,4.39,24.86
2,湖北,孝感,19,3501,113,1388,3.23,39.65
3,湖北,黄冈,0,2904,107,1852,3.68,63.77
4,湖北,荆州,1,1577,44,822,2.79,52.12
5,湖北,鄂州,2,1387,41,543,2.96,39.15
6,湖北,随州,1,1306,37,652,2.83,49.92
7,湖北,襄阳,0,1175,30,653,2.55,55.57
8,湖北,黄石,3,1011,32,585,3.17,57.86
9,湖北,宜昌,1,927,30,362,3.24,39.05
10,湖北,荆门,2,922,37,469,4.01,50.87
11,湖北,咸宁,0,836,11,560,1.32,66.99
12,湖北,十堰,0,671,3,348,0.45,51.86
13,湖北,仙桃,0,575,19,337,3.30,58.61
14,湖北,天门,1,496,13,286,2.62,57.66
15,湖北,恩施州,0,251,4,158,1.59,62.95
16,湖北,潜江,1,196,9,94,4.59,47.96
17,湖北,神农架,0,11,0,10,0.00,90.91
18,湖北,监狱系统,0,0,0,0,0.00,0.00
19,广东,深圳,0,417,3,262,0.72,62.83
20,广东,广州,0,346,1,223,0.29,64.45
21,广东,珠海,0,98,1,59,1.02,60.20
22,广东,东莞,0,97,1,40,1.03,41.24
23,广东,佛山,0,84,0,36,0.00,42.86
24,广东,中山,0,66,0,55,0.00,83.33
25,广东,惠州,0,62,0,49,0.00,79.03
26,广东,汕头,0,25,0,21,0.00,84.00
27,广东,江门,0,23,0,10,0.00,43.48
28,广东,湛江,0,22,0,14,0.00,63.64
29,广东,肇庆,0,19,1,10,5.26,52.63
30,广东,梅州,0,16,0,11,0.00,68.75
31,广东,茂名,0,14,0,7,0.00,50.00
32,广东,阳江,0,14,0,10,0.00,71.43
33,广东,清远,0,12,0,12,0.00,100.00
34,广东,韶关,0,10,0,7,0.00,70.00
35,广东,揭阳,0,8,0,5,0.00,62.50
36,广东,汕尾,0,5,0,4,0.00,80.00
37,广东,潮州,0,5,0,3,0.00,60.00
38,广东,河源,0,4,0,3,0.00,75.00
39,广东,地区待确认,0,0,0,0,0.00,0.00
40,河南,信阳,0,274,3,28,1.09,10.22
41,河南,郑州,0,157,1,36,0.64,22.93
42,河南,南阳,0,155,3,28,1.94,18.06
43,河南,驻马店,0,139,0,25,0.00,17.99
44,河南,商丘,0,91,3,9,3.30,9.89
45,河南,周口,0,76,0,16,0.00,21.05
46,河南,平顶山,0,58,1,13,1.72,22.41
47,河南,新乡,0,57,3,6,5.26,10.53
48,河南,安阳,0,53,0,10,0.00,18.87
49,河南,许昌,0,39,0,2,0.00,5.13
50,河南,漯河,0,35,0,6,0.00,17.14
51,河南,焦作,0,32,1,1,3.12,3.12
52,河南,洛阳,0,31,1,2,3.23,6.45
53,河南,开封,0,26,0,1,0.00,3.85
54,河南,鹤壁,0,19,0,3,0.00,15.79
55,河南,濮阳,0,17,0,1,0.00,5.88
56,河南,三门峡,0,7,1,3,14.29,42.86
57,河南,济源示范区,0,5,0,0,0.00,0.00
58,河南,地区待确认,0,0,2,833,0.00,0.00
59,浙江,温州,0,504,1,317,0.20,62.90
60,浙江,杭州,0,169,0,139,0.00,82.25
61,浙江,宁波,0,157,0,122,0.00,77.71
62,浙江,台州,0,146,0,98,0.00,67.12
63,浙江,金华,0,55,0,39,0.00,70.91
64,浙江,嘉兴,0,45,0,28,0.00,62.22
65,浙江,绍兴,0,42,0,30,0.00,71.43
66,浙江,省十里丰监狱,0,36,0,3,0.00,8.33
67,浙江,丽水,0,17,0,14,0.00,82.35
68,浙江,衢州,0,14,0,11,0.00,78.57
69,浙江,舟山,0,10,0,6,0.00,60.00
70,浙江,湖州,0,10,0,7,0.00,70.00
71,湖南,长沙,0,242,2,159,0.83,65.70
72,湖南,岳阳,0,156,1,106,0.64,67.95
73,湖南,邵阳,0,102,1,90,0.98,88.24
74,湖南,常德,0,82,0,66,0.00,80.49
75,湖南,株洲,0,80,0,54,0.00,67.50
76,湖南,娄底,0,76,0,57,0.00,75.00
77,湖南,益阳,0,59,0,56,0.00,94.92
78,湖南,衡阳,0,48,0,38,0.00,79.17
79,湖南,永州,0,43,0,41,0.00,95.35
80,湖南,怀化,0,40,0,39,0.00,97.50
81,湖南,郴州,0,39,0,31,0.00,79.49
82,湖南,湘潭,0,36,0,29,0.00,80.56
83,湖南,湘西自治州,0,8,0,8,0.00,100.00
84,湖南,张家界,0,5,0,5,0.00,100.00
85,安徽,合肥,0,174,1,135,0.57,77.59
86,安徽,蚌埠,0,160,5,127,3.12,79.38
87,安徽,阜阳,0,155,0,112,0.00,72.26
88,安徽,亳州,0,108,0,89,0.00,82.41
89,安徽,安庆,0,83,0,74,0.00,89.16
90,安徽,六安,0,69,0,48,0.00,69.57
91,安徽,宿州,0,41,0,30,0.00,73.17
92,安徽,马鞍山,0,38,0,25,0.00,65.79
93,安徽,芜湖,0,33,0,28,0.00,84.85
94,安徽,铜陵,0,29,0,22,0.00,75.86
95,安徽,淮南,0,27,0,20,0.00,74.07
96,安徽,淮北,0,27,0,22,0.00,81.48
97,安徽,池州,0,17,0,13,0.00,76.47
98,安徽,滁州,0,13,0,9,0.00,69.23
99,安徽,黄山,0,9,0,6,0.00,66.67
100,安徽,宣城,0,6,0,4,0.00,66.67
101,江西,南昌,0,229,0,187,0.00,81.66
102,江西,新余,0,130,0,111,0.00,85.38
103,江西,上饶,0,123,0,101,0.00,82.11
104,江西,九江,0,118,0,71,0.00,60.17
105,江西,宜春,0,106,0,90,0.00,84.91
