_id,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,地区待确认,69,4312,66,3295,1.53,76.41
2,新疆,乌鲁木齐,8,834,0,372,0.00,44.60
3,新疆,地区待确认,0,1,0,0,0.00,0.00
4,新疆,喀什,0,2,0,1,0.00,50.00
5,新疆,伊犁州,0,18,0,18,0.00,100.00
6,新疆,兵团第九师,0,4,1,3,25.00,75.00
7,新疆,吐鲁番,0,3,0,3,0.00,100.00
8,新疆,第八师石河子,0,4,1,3,25.00,75.00
9,新疆,昌吉州,0,5,0,5,0.00,100.00
10,新疆,兵团第四师,0,10,1,9,10.00,90.00
11,新疆,六师五家渠,0,2,0,2,0.00,100.00
12,新疆,兵团第十二师,0,3,0,3,0.00,100.00
13,新疆,巴州,0,3,0,3,0.00,100.00
14,新疆,第七师,0,1,0,1,0.00,100.00
15,新疆,阿克苏,0,1,0,1,0.00,100.00
16,上海,境外输入,16,474,0,405,0.00,85.44
17,上海,青浦,0,6,0,6,0.00,100.00
18,上海,外地来沪,0,113,1,112,0.88,99.12
19,上海,地区待确认,0,0,0,0,0.00,0.00
20,上海,宝山,0,22,1,21,4.55,95.45
21,上海,嘉定,0,9,2,7,22.22,77.78
22,上海,徐汇,0,18,1,17,5.56,94.44
23,上海,静安,0,16,1,15,6.25,93.75
24,上海,黄浦,0,6,1,5,16.67,83.33
25,上海,浦东,0,61,0,61,0.00,100.00
26,上海,境外来沪,0,1,0,1,0.00,100.00
27,上海,崇明,0,4,0,4,0.00,100.00
28,上海,金山,0,4,0,4,0.00,100.00
29,上海,虹口,0,7,0,7,0.00,100.00
30,上海,奉贤,0,9,0,9,0.00,100.00
31,上海,杨浦,0,9,0,9,0.00,100.00
32,上海,普陀,0,11,0,11,0.00,100.00
33,上海,长宁,0,13,0,13,0.00,100.00
34,上海,松江,0,14,0,14,0.00,100.00
35,上海,闵行,0,19,0,19,0.00,100.00
36,辽宁,大连,0,110,0,64,0.00,58.18
37,辽宁,境外输入,0,37,0,32,0.00,86.49
38,辽宁,铁岭,0,8,0,7,0.00,87.50
39,辽宁,葫芦岛,0,12,1,11,8.33,91.67
40,辽宁,抚顺,0,1,0,1,0.00,100.00
41,辽宁,朝阳市,0,6,1,5,16.67,83.33
42,辽宁,丹东,0,11,0,11,0.00,100.00
43,辽宁,沈阳,0,34,0,34,0.00,100.00
44,辽宁,鞍山,0,4,0,4,0.00,100.00
45,辽宁,锦州,0,12,0,12,0.00,100.00
46,辽宁,盘锦,0,11,0,11,0.00,100.00
47,辽宁,阜新,0,8,0,8,0.00,100.00
48,辽宁,本溪,0,3,0,3,0.00,100.00
49,辽宁,辽阳,0,3,0,3,0.00,100.00
50,辽宁,营口,0,1,0,1,0.00,100.00
51,山东,境外输入,0,58,0,33,0.00,56.90
52,山东,临沂,0,49,0,49,0.00,100.00
53,山东,济宁,0,260,0,260,0.00,100.00
54,山东,济南,0,47,0,47,0.00,100.00
55,山东,菏泽,0,18,0,18,0.00,100.00
56,山东,滨州,0,15,0,15,0.00,100.00
57,山东,聊城,0,38,0,38,0.00,100.00
58,山东,德州,0,37,2,35,5.41,94.59
59,山东,青岛,0,65,1,64,1.54,98.46
60,山东,日照,0,16,0,16,0.00,100.00
61,山东,威海,0,38,1,37,2.63,97.37
62,山东,泰安,0,35,2,33,5.71,94.29
63,山东,潍坊,0,44,0,44,0.00,100.00
64,山东,烟台,0,47,0,47,0.00,100.00
65,山东,枣庄,0,24,0,24,0.00,100.00
66,山东,淄博,0,30,1,29,3.33,96.67
67,台湾,地区待确认,0,481,7,450,1.46,93.56
68,陕西,境外输入,5,101,0,82,0.00,81.19
69,陕西,韩城,0,1,0,1,0.00,100.00
70,陕西,渭南,0,15,0,15,0.00,100.00
71,陕西,咸阳,0,17,0,17,0.00,100.00
72,陕西,西安,0,120,3,117,2.50,97.50
73,陕西,汉中,0,26,0,26,0.00,100.00
74,陕西,杨凌,0,1,0,1,0.00,100.00
75,陕西,地区待确认,0,0,0,0,0.00,0.00
76,陕西,榆林,0,3,0,3,0.00,100.00
77,陕西,商洛,0,7,0,7,0.00,100.00
78,陕西,铜川,0,8,0,8,0.00,100.00
79,陕西,延安,0,8,0,8,0.00,100.00
80,陕西,宝鸡,0,13,0,13,0.00,100.00
81,陕西,安康,0,26,0,26,0.00,100.00
82,广东,境外输入,0,312,0,294,0.00,94.23
83,广东,湛江,0,22,0,22,0.00,100.00
84,广东,广州,0,377,1,376,0.27,99.73
85,广东,潮州,0,5,0,5,0.00,100.00
86,广东,汕尾,0,5,0,5,0.00,100.00
87,广东,清远,0,12,0,12,0.00,100.00
88,广东,惠州,0,62,0,62,0.00,100.00
89,广东,韶关,0,10,1,9,10.00,90.00
90,广东,茂名,0,14,0,14,0.00,100.00
91,广东,中山,0,67,0,67,0.00,100.00
92,广东,河源,0,5,0,5,0.00,100.00
93,广东,地区待确认,0,0,0,0,0.00,0.00
94,广东,珠海,0,98,1,97,1.02,98.98
95,广东,汕头,0,25,0,25,0.00,100.00
96,广东,揭阳,0,10,0,10,0.00,100.00
97,广东,江门,0,23,0,23,0.00,100.00
98,广东,梅州,0,16,0,16,0.00,100.00
99,广东,佛山,0,89,0,89,0.00,100.00
100,广东,深圳,0,423,3,420,0.71,99.29
101,广东,肇庆,0,19,1,18,5.26,94.74
102,广东,东莞,0,99,1,98,1.01,98.99
103,广东,阳江,0,14,0,14,0.00,100.00
104,四川,境外输入,1,78,0,67,0.00,85.90
105,四川,广元,0,6,0,6,0.00,100.00
106,四川,成都,0,145,3,142,2.07,97.93
107,四川,资阳,0,4,0,4,0.00,100.00
108,四川,南充,0,39,0,39,0.00,100.00
109,四川,自贡,0,9,0,9,0.00,100.00
110,四川,攀枝花,0,16,0,16,0.00,100.00
111,四川,泸州,0,24,0,24,0.00,100.00
112,四川,德阳,0,18,0,18,0.00,100.00
113,四川,绵阳,0,22,0,22,0.00,100.00
114,四川,阿坝,0,1,0,1,0.00,100.00
115,四川,雅安,0,8,0,8,0.00,100.00
