id,name,lng,lat,address,city,province,count,full_address
51,,119.53957,26.19753,潘渡,福州市,福建省,1,福建省福州市连江县潘渡
52,,119.660393,26.34955,龙头村,福州市,福建省,1,福建省福州市连江县透堡镇龙头村
53,,119.635048,26.376419,东湾村,福州市,福建省,2,福建省福州市连江县马鼻镇东湾村
54,,119.660141,26.371309,墙兜村,福州市,福建省,1,福建省福州市连江县马鼻镇墙兜村
55,,119.645233,25.915541,仙岐村,福州市,福建省,1,福建省福州市长乐区漳港街道仙岐村
56,,119.630707,25.928499,龙峰村,福州市,福建省,1,福建省福州市长乐区漳港街道龙峰村
57,,119.505234,25.957411,航辉社区,福州市,福建省,2,福建省福州市长乐区航城街道航辉社区
58,江南水都名筑,119.279671,26.044538,江南水都名筑,福州市,福建省,1,福建省福州市仓山区江南水都名筑
59,,119.03701,25.251369,营边村,莆田市,福建省,1,福建省莆田市秀屿区东庄镇营边村
60,,119.236008,25.25511,埭头村,莆田市,福建省,1,福建省莆田市秀屿区埭头镇埭头村
61,埭头村新街口,119.234375,25.255232,埭头村新街口,莆田市,福建省,1,福建省莆田市秀屿区埭头镇埭头村新街口
62,湖东村顶湖,119.248528,25.25865,湖东村顶湖,莆田市,福建省,1,福建省莆田市秀屿区湖东村顶湖
63,,119.036163,25.23472,苏厝村,莆田市,福建省,1,福建省莆田市秀屿区苏厝村
64,鼎秀苑小区,119.094109,25.32518,鼎秀苑小区,莆田市,福建省,1,福建省莆田市秀屿区鼎秀苑小区
65,,118.984108,25.225901,莆头村,莆田市,福建省,1,福建省莆田市秀屿区东庄镇莆头村
66,,119.083488,25.16707,何山村,莆田市,福建省,1,福建省莆田市湄洲湾北岸开发区东埔镇何山村
67,,119.122238,25.139999,港里村,莆田市,福建省,1,福建省莆田市湄洲湾北岸开发区山亭镇港里村
68,铺头村新厝,118.750458,25.23278,铺头村新厝,莆田市,福建省,1,福建省莆田市仙游县枫亭镇铺头村新厝
69,星庄村刘前,118.833412,25.38859,星庄村刘前,莆田市,福建省,1,福建省莆田市仙游县盖尾镇星庄村刘前
70,金沙村上库,118.577957,25.321251,金沙村上库,莆田市,福建省,1,福建省莆田市仙游县龙华镇金沙村上库
71,洋坑村柯厝,118.590729,25.363359,洋坑村柯厝,莆田市,福建省,1,福建省莆田市仙游县大济镇洋坑村柯厝
72,木兰社区,118.683548,25.355551,木兰社区,莆田市,福建省,1,福建省莆田市仙游县鲤城街道木兰社区
73,景隆凯旋城,119.107147,25.469419,景隆凯旋城,莆田市,福建省,1,福建省莆田市涵江区国欢镇景隆凯旋城
74,,118.95874,25.697781,岫山村,莆田市,福建省,1,福建省莆田市涵江区庄边镇岫山村
75,保利城2期,119.087074,25.465982,保利城2期,莆田市,福建省,1,福建省莆田市涵江区白塘镇保利城2期
76,东南香小区,119.097931,25.448988,东南香小区,莆田市,福建省,1,福建省莆田市涵江区港头路东南香小区
77,呈山村沟戈,119.139168,25.35041,呈山村沟戈,莆田市,福建省,1,福建省莆田市荔城区北高镇呈山村沟戈
78,竹庄村上房,119.199471,25.33625,竹庄村上房,莆田市,福建省,1,福建省莆田市荔城区北高镇竹庄村上房
79,,119.030777,25.3901,锦墩村,莆田市,福建省,1,福建省莆田市荔城区新度镇锦墩村
80,,119.171402,25.318489,渡岭村,莆田市,福建省,1,福建省莆田市荔城区渡岭村
81,万通花园,119.033401,25.438511,万通花园,莆田市,福建省,1,福建省莆田市荔城区万通花园
82,畅林社区浦头村,119.03154,25.46751,畅林社区浦头村,莆田市,福建省,1,福建省莆田市荔城区拱辰街道畅林社区浦头村
83,云顶枫丹,119.027328,25.480949,云顶枫丹,莆田市,福建省,1,福建省莆田市荔城区西天尾镇云顶枫丹
84,栏山村田鼻兜,119.181252,25.32865,栏山村田鼻兜,莆田市,福建省,1,福建省莆田市荔城区北高镇栏山村田鼻兜
85,东甲村青山,119.127739,25.393419,东甲村青山,莆田市,福建省,1,福建省莆田市荔城区黄石镇东甲村青山
86,,119.123352,25.38875,徐厝村,莆田市,福建省,1,福建省莆田市荔城区黄石镇徐厝村
87,万辉国际城,119.017303,25.46697,万辉国际城,莆田市,福建省,1,福建省莆田市城厢区万辉国际城
88,外贸宿舍,119.013527,25.424191,外贸宿舍,莆田市,福建省,1,福建省莆田市城厢区凤凰山街道南门吉祥街外贸宿舍
89,,118.884644,25.5361,金川村,莆田市,福建省,1,福建省莆田市城厢区常太镇金川村
90,,119.018372,25.306669,柯朱村,莆田市,福建省,1,福建省莆田市城厢区柯朱村
91,,119.035439,25.278299,太湖村,莆田市,福建省,1,福建省莆田市城厢区灵川镇太湖村
92,豪悦御景,119.003128,25.447611,豪悦御景,莆田市,福建省,1,福建省莆田市城厢区荔城中大道豪悦御景
93,,118.950058,25.276381,西黄村,莆田市,福建省,1,福建省莆田市城厢区东海镇西黄村
94,中国工商银行南安柳城分行,118.39328,24.95573,中国工商银行南安柳城分行,泉州市,福建省,1,福建省泉州市南安市中国工商银行南安柳城分行
95,南安市行政服务中心,118.40686,24.95915,南安市行政服务中心,泉州市,福建省,1,福建省泉州市南安市南安市行政服务中心
96,后林埔,118.478668,24.86297,后林埔,泉州市,福建省,1,福建省泉州市南安市官桥镇下洋村后林埔
97,,118.4244,24.767229,内厝村,泉州市,福建省,1,福建省泉州市南安市官桥镇内厝村
98,,118.418541,24.79817,周厝村,泉州市,福建省,1,福建省泉州市南安市官桥镇周厝村
99,,118.369072,24.692369,仁福村,泉州市,福建省,1,福建省泉州市南安市水头镇仁福村
100,,118.34716,24.69047,劳光村,泉州市,福建省,1,福建省泉州市南安市水头镇劳光村
101,,118.321281,25.2024,大庭村,泉州市,福建省,1,福建省泉州市南安市码头镇大庭村
102,,118.236717,24.9666,良山村,泉州市,福建省,1,福建省泉州市南安市英都镇良山村
103,,118.280746,25.015791,园美村,泉州市,福建省,1,福建省泉州市南安市仑苍镇园美村
104,,118.284332,25.005079,湖西新村,泉州市,福建省,1,福建省泉州市南安市仑苍镇湖西新村
105,,118.291061,25.007139,联盟村,泉州市,福建省,1,福建省泉州市南安市仑苍镇联盟村
106,水头菜市场桥西街,118.430664,24.708244,水头菜市场桥西街,泉州市,福建省,1,福建省泉州市南安市水头菜市场桥西街
107,溪口村,118.473648,24.99119,溪口村,泉州市,福建省,1,福建省泉州市南安市美林街道溪口村
108,西美村,118.393318,24.98402,西美村,泉州市,福建省,1,福建省泉州市南安市美林街道西美村
109,海景国际星域,118.624557,24.874359,海景国际星域,泉州市,福建省,1,福建省泉州市丰泽区东海街道海景社区海景国际星域
110,东莲花苑,118.649406,24.91396,东莲花苑,泉州市,福建省,1,福建省泉州市丰泽区城东街道浔美社区东莲花苑
111,,118.653152,24.75823,后垵村,泉州市,福建省,1,福建省泉州市石狮市宝盖镇后垵村
112,山前东区,118.700615,24.748087,山前东区,泉州市,福建省,1,福建省泉州市石狮市蚶江镇山前东区
113,,118.404404,25.301729,外碧村,泉州市,福建省,1,福建省泉州市永春县东关镇外碧村
114,,118.337349,25.303881,太平村,泉州市,福建省,1,福建省泉州市永春县东平镇太平村
115,,118.454689,25.324169,碧卿林场,泉州市,福建省,1,福建省泉州市永春县外山乡碧卿林场
116,,118.302193,25.32023,太坪新村,泉州市,福建省,1,福建省泉州市永春县桃城镇太坪新村
117,永春新华都超市,118.295059,25.324575,永春新华都超市,泉州市,福建省,1,福建省泉州市永春县永春新华都超市
118,,118.406357,25.36853,龙山村,泉州市,福建省,1,福建省泉州市永春县湖洋镇龙山村
119,金龙城董记咯摊,118.2967,25.323311,金龙城董记咯摊,泉州市,福建省,1,福建省泉州市永春县金龙城董记咯摊
120,,118.042648,25.36014,新珩村,泉州市,福建省,1,福建省泉州市永春县玉斗镇新珩村
121,,118.039238,25.390621,玉斗村,泉州市,福建省,1,福建省泉州市永春县玉斗镇玉斗村
122,,118.882057,24.905621,青山街,泉州市,福建省,1,福建省泉州市惠安县山霞镇东坑村青山街
123,,118.864159,24.90695,田边村,泉州市,福建省,1,福建省泉州市惠安县山霞镇田边村
124,,118.811958,24.983709,庄内村,泉州市,福建省,1,福建省泉州市惠安县涂寨镇庄内村
