id,name,lng,lat,address,full_address,count
0,建行小区,112.856483,35.479191,建行小区,山西省晋城市城区钟家庄迎宾街建行小区,1
1,,112.456207,35.677219,中乡村,山西省晋城市沁水县郑庄镇中乡村,3
2,商业园B区,112.40662,35.49018,商业园B区,山西省晋城市阳城县水村商业园B区,1
3,红星三巷,112.952431,35.638569,红星三巷,山西省晋城市泽州县北义城镇北义城村红星三巷,1
4,锦泰嘉园小区,112.902649,35.550671,锦泰嘉园小区,山西省晋城市泽州县北石店镇锦泰嘉园小区,1
5,王家巷,113.277977,35.770893,王家巷,山西省晋城市陵川县崇文镇城南社区王家巷,1
6,东方红小区,112.59063,37.852959,东方红小区,山西省太原市迎泽区桥东街道东方红小区,1
7,牛站巷迎泽苑8号楼,112.561471,37.848552,牛站巷迎泽苑8号楼,山西省太原市迎泽区迎泽街道牛站巷迎泽苑8号楼,1
8,胜利桥东路省统计局宿舍,112.563538,37.877636,胜利桥东路省统计局宿舍,山西省太原市杏花岭区巨轮街胜利桥东路省统计局宿舍,1
9,晋安3号院,112.578262,37.895027,晋安3号院,山西省太原市杏花岭区胜利东街晋安3号院,1
10,焦化小区,112.483788,37.761532,焦化小区,山西省太原市晋源区焦化小区,2
11,华泰御景湾,112.544342,37.798328,华泰御景湾,山西省太原市小店区华泰御景湾,1
12,汇泰丽城,112.577393,37.723492,汇泰丽城,山西省太原市小店区正阳街汇泰丽城,1
13,山西省政法管理干部学院宿舍,112.57749,37.83687,山西省政法管理干部学院宿舍,山西省太原市小店区营盘街道体育北街6号山西省政法管理干部学院宿舍,1
14,兴华街北小区,112.520851,37.887348,兴华街北小区,山西省太原市尖草坪区汇丰街道兴华街北小区,4
15,金茂悦北区5号院,116.484139,39.754539,金茂悦北区5号院,北京市大兴区瀛海镇金茂悦北区5号院,1
16,双河南里,116.347168,39.734291,双河南里,北京市大兴区观音寺街道双河南里,1
17,格林云墅,116.401649,39.708168,格林云墅,北京市大兴区黄村镇格林云墅,1
18,瑞康家园小区,116.34198,39.7393,瑞康家园小区,北京市大兴区兴丰街道瑞康家园小区,1
19,泰禾中央广场,116.320198,39.713459,泰禾中央广场,北京市大兴区林校路街道泰禾中央广场,1
20,西红门镇瑞海家园二区,116.33179,39.78655,西红门镇瑞海家园二区,北京市大兴区西红门镇瑞海家园二区,1
21,,116.801804,40.358109,河槽村,北京市密云区十里堡镇河槽村,1
22,东坝乡恒大江湾,116.531891,39.969803,东坝乡恒大江湾,北京市朝阳区东坝乡恒大江湾,1
23,北苑路86号嘉铭园,116.42212,40.00216,北苑路86号嘉铭园,北京市朝阳区北苑路86号嘉铭园,1
24,慈云寺北里,116.49498,39.917599,慈云寺北里,北京市朝阳区慈云寺北里,1
25,高碑店乡陶家湾,116.542572,39.9053,高碑店乡陶家湾,北京市朝阳区高碑店乡陶家湾,1
26,来广营乡筑华年,116.427711,40.036083,来广营乡筑华年,北京市朝阳区来广营乡筑华年,1
27,安慧北里,116.414322,39.995655,安慧北里,北京市朝阳区亚运村街道安慧北里,1
28,林萃路10号院,116.374276,40.010511,林萃路10号院,北京市朝阳区奥运村街道林萃路10号院,1
29,明天第一城,116.40921,40.046188,明天第一城,北京市朝阳区来广营乡明天第一城,1
30,将台乡芳园里小区,116.48835,39.974339,将台乡芳园里小区,北京市朝阳区将台乡芳园里小区,1
31,高碑店北花园社区超级蜂巢,116.548889,39.899143,高碑店北花园社区超级蜂巢,北京市朝阳区高碑店北花园社区超级蜂巢,1
32,南磨房乡世纪东方嘉园,116.4935,39.875549,南磨房乡世纪东方嘉园,北京市朝阳区南磨房乡世纪东方嘉园,1
33,驹章胡同,116.425087,39.889252,驹章胡同,北京市东城区体育馆路街道驹章胡同,1
34,道后永康2巷,116.424438,39.942402,道后永康2巷,北京市东城区北新桥街道后永康2巷,1
35,东直门北小街8号,116.426272,39.947741,东直门北小街8号,北京市东城区北新桥街道东直门北小街8号,1
36,新街口外大街15号院,116.370025,39.963371,新街口外大街15号院,北京市海淀区北太平庄街道新街口外大街15号院,1
37,民族大学西路66号鑫德家园,116.3173,39.9495,民族大学西路66号鑫德家园,北京市海淀区紫竹院街道民族大学西路66号鑫德家园,1
38,中科院东南小区,116.323593,39.978989,中科院东南小区,北京市海淀区中关村街道中科院东南小区,1
39,北京师范大学小区,116.365944,39.960609,北京师范大学小区,北京市海淀区北太平庄街道北京师范大学小区,1
40,玉海园二里小区,116.253677,39.919514,玉海园二里小区,北京市海淀区田村路街道玉海园二里小区,1
41,知春路82号院小区,116.329456,39.974753,知春路82号院小区,北京市海淀区中关村街道知春路82号院小区,1
42,天通苑北一区,116.417297,40.076759,天通苑北一区,北京市昌平区天通苑北街道天通苑北一区,1
43,龙泽苑东区,116.326332,40.073669,龙泽苑东区,北京市昌平区龙泽园街道龙泽苑东区,1
44,南营房社区,116.350113,39.918201,南营房社区,北京市西城区展览路街道南营房社区,1
45,复兴门外大街甲20号,116.33971,39.9064,复兴门外大街甲20号,北京市西城区月坛街道复兴门外大街甲20号,1
46,新街口街道富国里,116.365723,39.930149,新街口街道富国里,北京市西城区新街口街道富国里,1
47,龙湖滟澜山,116.50148,40.091801,龙湖滟澜山,北京市顺义区空港街道龙湖滟澜山,1
48,胜利街道义宾南区,116.646248,40.130978,胜利街道义宾南区,北京市顺义区胜利街道义宾南区,1
49,电报局街小区,116.286903,39.849232,电报局街小区,北京市丰台区丰台街道电报局街小区,1
50,西府颐园,116.267921,39.883171,西府颐园,北京市丰台区卢沟桥街道西府颐园,1
51,定安东里,116.414841,39.85947,定安东里,北京市丰台区东铁营街道定安东里,1
52,建国街一里,116.293396,39.847782,建国街一里,北京市丰台区丰台街道建国街一里,1
53,华源四里,116.317902,39.880962,华源四里,北京市丰台区太平桥街道华源四里,1
54,富丰园,116.282761,39.837036,富丰园,北京市丰台区新村街道富丰园,1
55,万源南里小区,116.418321,39.806941,万源南里小区,北京市丰台区东高地街道万源南里小区,1
56,刘孟家园小区,116.302071,39.838261,刘孟家园小区,北京市丰台区新村街道刘孟家园小区,1
57,幸福家园小区东区,116.310715,39.818203,幸福家园小区东区,北京市丰台区花乡街道幸福家园小区东区,1
58,西潞东里小区,116.135231,39.733238,西潞东里小区,北京市房山区西潞街道西潞东里小区,1
59,,115.736198,39.56778,西白岱村,北京市房山区张坊镇西白岱村,1
60,,116.7183,39.693851,崔各庄村,北京市通州区于家务回族乡崔各庄村,1
61,西街天翠阳光新城,116.123558,39.95443,西街天翠阳光新城,北京市石景山区五里坨街道西街天翠阳光新城,1
62,鲁谷远洋山水,116.23951,39.900459,鲁谷远洋山水,北京市石景山区八宝山街道鲁谷远洋山水,1
63,玉泉北里2区,116.248871,39.91946,玉泉北里2区,北京市石景山区玉泉北里2区,1
64,,116.616211,40.285912,郑重庄村,北京市怀柔区庙城镇郑重庄村,1
65,,112.401382,26.390169,培元办事处南塘街,湖南省衡阳市常宁市培元办事处南塘街,1
66,白沙工业园金龙小区,112.655205,26.8169,白沙工业园金龙小区,湖南省衡阳市雁峰区白沙工业园金龙小区,1
67,横岭村7组,112.874,26.18001,横岭村7组,湖南省衡阳市耒阳市公平圩镇横岭村7组,1
68,广兴驾校,112.829659,26.448391,广兴驾校,湖南省衡阳市耒阳市广兴驾校,1
69,新竹村13组,112.8725,26.41777,新竹村13组,湖南省衡阳市耒阳市水东江街道办事处新竹村13组,1
70,竹市村11组,112.8725,26.41777,竹市村11组,湖南省衡阳市耒阳市水东江街道办事处竹市村11组,1
71,里王村5组,112.9282,26.41996,里王村5组,湖南省衡阳市耒阳市水东江街道办事处里王村5组,1
72,水东江铜锣洲,112.881538,26.42803,水东江铜锣洲,湖南省衡阳市耒阳市水东江铜锣洲,1
73,东江13组,113.152847,26.62269,东江13组,湖南省衡阳市耒阳市水东街街道东江13组,1
74,东星村14组,112.914101,26.33709,东星村14组,湖南省衡阳市耒阳市泗门镇东星村14组,1
75,遥田新村,112.857498,26.560301,遥田新村,湖南省衡阳市耒阳市遥田新村,1
76,红星居委会,112.852661,26.553379,红星居委会,湖南省衡阳市耒阳市遥田镇红星居委会,1
77,湖德村7组,113.0574,26.65329,湖德村7组,湖南省衡阳市耒阳市马水镇湖德村7组,1
78,韭菜村杏子组,112.1978,26.949631,韭菜村杏子组,湖南省衡阳市衡阳县井头镇韭菜村杏子组,1
79,,112.389153,27.07774,长岭村,湖南省衡阳市衡阳县台源镇柳树村长岭村,1
80,,112.25666,26.90867,易市村,湖南省衡阳市衡阳县岘山镇易市村,1
81,大马组,112.25666,26.90867,大马组,湖南省衡阳市衡阳县岘山镇易市村大马组,1
82,,112.255943,26.910198,易市街,湖南省衡阳市衡阳县岘山镇易市街,1
83,百叶村老堰组,112.276817,26.953939,百叶村老堰组,湖南省衡阳市衡阳县岘山镇百叶村老堰组,1
84,金风大队干部组,112.301857,26.928619,金风大队干部组,湖南省衡阳市衡阳县岘山镇金风大队干部组,1
85,欧家组,112.301857,26.928619,欧家组,湖南省衡阳市衡阳县岘山镇阳塘村欧家组,1
86,和睦村凤凰堂组,112.407242,27.18059,和睦村凤凰堂组,湖南省衡阳市衡阳县渣江镇和睦村凤凰堂组,1
87,,112.37899,26.967609,中心北路,湖南省衡阳市衡阳县西渡镇中心北路,1
88,星联村柏树村,112.316292,26.964251,星联村柏树村,湖南省衡阳市衡阳县西渡镇星联村柏树村,1
89,长龙村晓湾组,112.355751,27.09989,长龙村晓湾组,湖南省衡阳市衡阳县长安乡长龙村晓湾组,1
90,,112.588333,27.28974,双渡村,湖南省衡阳市衡山县东湖镇双渡村,1
91,塘湾村老湾组,112.567001,27.273609,塘湾村老湾组,湖南省衡阳市衡山县东湖镇塘湾村老湾组,1
92,杉木桥村农科组,112.639877,27.322309,杉木桥村农科组,湖南省衡阳市衡山县东湖镇杉木桥村农科组,1
93,,112.631699,27.31126,立新村,湖南省衡阳市衡山县东湖镇立新村,1
94,灯山村15组,112.719414,27.36936,灯山村15组,湖南省衡阳市衡山县岭坡乡灯山村15组,1
95,新源村11组,112.937111,27.294189,新源村11组,湖南省衡阳市衡山县长江镇新源村11组,1
96,,112.897133,27.30497,胜利村,湖南省衡阳市衡山县长江镇胜利村,1
97,尚书房,112.556717,26.89398,尚书房,湖南省衡阳市蒸湘区尚书房,1
98,棕榈园四期,112.56234,26.90867,棕榈园四期,湖南省衡阳市蒸湘区棕榈园四期,1
99,沐林美郡,112.572258,26.903999,沐林美郡,湖南省衡阳市蒸湘区沐林美郡,1
100,洋洲丽苑,112.564621,26.887581,洋洲丽苑,湖南省衡阳市蒸湘区洋洲丽苑,1
101,润泽上邸,112.569107,26.899771,润泽上邸,湖南省衡阳市蒸湘区润泽上邸,1
102,衡阳名郡,112.598007,26.88685,衡阳名郡,湖南省衡阳市蒸湘区衡阳名郡,1
103,踏冲村17组,112.996994,27.356043,踏冲村17组,湖南省衡阳市衡东县三樟镇踏冲村17组,1
104,雷市村6组,112.869118,27.18082,雷市村6组,湖南省衡阳市衡东县新塘镇雷市村6组,1
105,洣水镇中学,112.977699,27.196239,洣水镇中学,湖南省衡阳市衡东县洣水镇洣水镇中学,1
106,滨江社区居委会,112.949638,27.08182,滨江社区居委会,湖南省衡阳市衡东县洣水镇滨江社区居委会,1
107,荷塘村11组,112.948753,27.27676,荷塘村11组,湖南省衡阳市衡东县石湾镇荷塘村11组,1
108,李家垅村2组,112.891899,27.15192,李家垅村2组,湖南省衡阳市衡东县霞流镇李家垅村2组,1
109,洋塘村4组和7组,112.887138,27.13933,洋塘村4组和7组,湖南省衡阳市衡东县霞流镇洋塘村4组和7组,1
110,光明村21组,112.95578,27.29615,光明村21组,湖南省衡阳市衡东县石湾镇光明村21组,1
111,,112.83947,26.710751,柿子村,湖南省衡阳市衡南县相市乡柿子村,1
112,川口片区将军村胜利组,113.017982,26.895149,川口片区将军村胜利组,湖南省衡阳市衡南县花桥镇川口片区将军村胜利组,1
113,渚溪村总管组,112.980461,26.821699,渚溪村总管组,湖南省衡阳市衡南县花桥镇渚溪村总管组,1
114,高新村三义组,112.997017,26.831409,高新村三义组,湖南省衡阳市衡南县花桥镇高新村高新村三义组,1
115,同古村新铺里,112.330933,26.640381,同古村新铺里,湖南省衡阳市衡南县茅市镇同古村新铺里,1
116,双溪村骚冲组,112.22007,26.872431,双溪村骚冲组,湖南省衡阳市衡南县鸡笼镇双溪村骚冲组,1
117,赤堰村良头冲组,112.243828,26.875839,赤堰村良头冲组,湖南省衡阳市衡南县鸡笼镇赤堰村良头冲组,1
118,赤堰村邓湾组,112.25721,26.87739,赤堰村邓湾组,湖南省衡阳市衡南县鸡笼镇赤堰村邓湾组,1
119,龙腾大厦,112.614288,26.909941,龙腾大厦,湖南省衡阳市石鼓区龙腾大厦,1
120,鸿源大厦,112.62039,26.89456,鸿源大厦,湖南省衡阳市珠晖区鸿源大厦,1
121,腾龙路B栋,112.19017,26.54483,腾龙路B栋,湖南省衡阳市祁东县归阳镇腾龙路B栋,1
122,灵官居委会德胜组,111.963371,26.72191,灵官居委会德胜组,湖南省衡阳市祁东县灵官镇灵官居委会德胜组,1
123,安康小区,112.938492,25.380489,安康小区,湖南省郴州市宜章县玉溪镇安康小区,2
124,,112.97496,25.448469,留军村,湖南省郴州市宜章县五岭镇留军村,1
125,交警大队4中队,112.964218,25.41679,交警大队4中队,湖南省郴州市宜章县玉溪镇交警大队4中队,1
126,湘南人家,113.095078,25.78336,湘南人家,湖南省郴州市苏仙区湘南人家,6
127,石榴湾安置新区,113.052513,25.784439,石榴湾安置新区,湖南省郴州市苏仙区白鹿洞街道石榴湾安置新区,1
128,学府世家,113.038643,25.80546,学府世家,湖南省郴州市苏仙区苏仙岭街道学府世家,1
129,飞虹路学府世家,113.038643,25.80546,飞虹路学府世家,湖南省郴州市苏仙区苏仙岭街道飞虹路学府世家,1
130,君悦澜山,113.040771,25.77356,君悦澜山,湖南省郴州市苏仙区白鹿洞街道君悦澜山,1
131,滨谷湾,112.382683,25.593201,滨谷湾,湖南省郴州市嘉禾县珠泉镇滨谷湾,1
132,长安生态城,113.712723,25.531679,长安生态城,湖南省郴州市汝城县卢阳镇长安生态城,1
133,锦泉花园,113.681557,25.540689,锦泉花园,湖南省郴州市汝城县卢阳镇锦泉花园,1
134,,113.130013,26.23562,晓源村,湖南省郴州市永兴县黄泥镇晓源村,1
135,汇邦国际,113.111557,26.13121,汇邦国际,湖南省郴州市永兴县便江镇汇邦国际,1
136,朝阳实验学校对面,113.119659,26.135981,朝阳实验学校对面,湖南省郴州市永兴县便江镇沙子江路朝阳实验学校对面,1
137,雅庭小区,113.258682,25.950251,雅庭小区,湖南省郴州市资兴市东江街道雅庭小区,3
138,麦市乡中学旁,112.469559,25.50408,麦市乡中学旁,湖南省郴州市临武县麦市乡中学旁,1
139,理想城,113.257607,26.72377,理想城,湖南省郴州市安仁县永乐江镇理想城,5
140,禾市街大市场,113.371246,26.560169,禾市街大市场,湖南省郴州市安仁县禾市乡禾市街大市场,1
141,民工小区,113.002342,25.782511,民工小区,湖南省郴州市北湖区骆仙西路民工小区,1
142,,111.760513,29.77762,新堰村,湖南省常德市澧县梦溪镇新堰村,2
143,,111.865227,29.786409,高兴村,湖南省常德市澧县梦溪镇高兴村,1
144,,111.776917,29.63529,澧浦街道,湖南省常德市澧县澧浦街道,1
145,,111.77726,29.63509,澧澹街道,湖南省常德市澧县澧澹街道,2
146,大汉新城小区,111.761047,29.66044,大汉新城小区,湖南省常德市澧县澧阳街道大汉新城小区,1
147,徐家嘴社区,111.7565,29.652411,徐家嘴社区,湖南省常德市澧县澧阳街道徐家嘴社区,1
148,,111.762466,29.6556,澧阳镇,湖南省常德市澧县澧阳镇,2
149,荷塘月色小区,111.762466,29.6556,荷塘月色小区,湖南省常德市澧县澧阳镇荷塘月色小区,1
150,邓家滩25组,111.762466,29.6556,邓家滩25组,湖南省常德市澧县澧阳镇邓家滩25组,1
151,,111.771118,29.842939,蔡家坡村,湖南省常德市澧县盐井镇蔡家坡村,1
152,,111.872932,29.76156,李家村,湖南省常德市澧县复兴镇李家村,1
153,,111.995781,29.68844,东红村,湖南省常德市澧县如东镇东红村,1
154,,111.98465,29.735355,玉龙村,湖南省常德市澧县如东镇玉龙村,1
155,,112.008621,29.489885,七里村,湖南省常德市澧县官垸镇七里村,1
156,,111.930733,29.623711,东风村,湖南省常德市澧县小渡口镇东风村,3
157,宋二酒店,111.93718,29.635889,宋二酒店,湖南省常德市澧县小渡口镇宋二酒店,1
158,星香源酒店,111.750832,29.64131,星香源酒店,湖南省常德市澧县星香源酒店,1
159,浦金国际小区,111.772522,29.646709,浦金国际小区,湖南省常德市澧县澧浦街道浦金国际小区,1
